titleId	conceptId	name	contentId	region	publisherId
PPSA01007_00	10000033	PS5 Ryders of Wild Swans Original (Prod) Entitlement	UP8850-PPSA01007_00-TEST0000000000GD	UP	UP8850
PPSA01280_00	10000171	Share Factory Studio	IP9100-PPSA01280_00-SFSRELE000000100	IP	IP9100
PPSA01284_00	10000176	Returnal	UP9000-PPSA01284_00-RETURNAL00000000	UP	UP9000
PPSA01285_00	10000176	Returnal	EP9000-PPSA01285_00-RETURNAL00000000	EP	EP9000
PPSA01286_00	10000176	Returnal	JP9000-PPSA01286_00-RETURNAL00000000	JP	JP9000
PPSA01287_00	10000176	Returnal	HP9000-PPSA01287_00-RETURNAL00000000	HP	HP9000
PPSA01288_00	10000177	Sackboy™: A Big Adventure	EP9000-PPSA01288_00-SACKBOYADVENTURE	EP	EP9000
PPSA01289_00	10000177	Sackboy™: A Big Adventure	UP9000-PPSA01289_00-SACKBOYADVENTURE	UP	UP9000
PPSA01291_00	10000177	Sackboy™: A Big Adventure	JP9000-PPSA01291_00-SACKBOYADVENTURE	JP	JP9000
PPSA01292_00	10000177	Sackboy™: A Big Adventure	HP9000-PPSA01292_00-SACKBOYADVENTURE	HP	HP9000
PPSA01293_00	10000178	Destruction AllStars			
PPSA01294_00	10000178	Destruction AllStars			
PPSA01295_00	10000178	Destruction AllStars			
PPSA01296_00	10000178	Destruction AllStars			
PPSA01302_00	10000185	DEATHLOOP	UP1003-PPSA01302_00-DEATHLOOP0000000	UP	UP1003
PPSA01315_00	10000956	グランツーリスモ® 7	JP9001-PPSA01315_00-GRANTURISMO70000	JP	JP9001
PPSA01316_00	10000956	Gran Turismo™ 7	EP9001-PPSA01316_00-GRANTURISMO70000	EP	EP9001
PPSA01317_00	10000956	Gran Turismo® 7	UP9000-PPSA01317_00-GRANTURISMO70000	UP	UP9000
PPSA01318_00	10000956	Gran Turismo® 7	HP9000-PPSA01318_00-GRANTURISMO70000	HP	HP9000
PPSA01325_00	10000229	ASTRO's PLAYROOM	IP9100-PPSA01325_00-PREINMASTER00000	IP	IP9100
PPSA01326_00	10000278	FIFA 21	EP0006-PPSA01326_00-FIFAFOOTBALL2021	EP	EP0006
PPSA01327_00	10000278	FIFA 21	UP0006-PPSA01327_00-FIFAFOOTBALL2021	UP	UP0006
PPSA01337_00	10000301	Ghostwire: Tokyo	UP1003-PPSA01337_00-GHOSTWIRETOKYOFG	UP	UP1003
PPSA01339_00	10000368	Demon's Souls	JP9000-PPSA01339_00-DEMONSSOULS00000	JP	JP9000
PPSA01340_00	10000368	Demon's Souls	HP9000-PPSA01340_00-DEMONSSOULS00000	HP	HP9000
PPSA01341_00	10000368	Demon's Souls	EP9000-PPSA01341_00-DEMONSSOULS00000	EP	EP9000
PPSA01342_00	10000368	Demon's Souls	UP9000-PPSA01342_00-DEMONSSOULS00000	UP	UP9000
PPSA01343_00	235080	Madden NFL 21	UP0006-PPSA01343_00-MADDENNFL21GAME1	UP	UP0006
PPSA01344_00	235080	Madden NFL 21	EP0006-PPSA01344_00-MADDENNFL21GAME1	EP	EP0006
PPSA01347_00	10000428	Godfall	UP0292-PPSA01347_00-GODFALL000000000	UP	UP0292
PPSA01349_00	10000428	Godfall	EP0290-PPSA01349_00-GODFALL000000000	EP	EP0290
PPSA01363_00	10000579	WRC 9 FIA World Rally Championship	EP4008-PPSA01363_00-WRC9SIEE00000000	EP	EP4008
PPSA01364_00	10000579	WRC 9 FIA World Rally Championship	UP4008-PPSA01364_00-WRC9SIEA00000000	UP	UP4008
PPSA01372_00	10000459	RIDERS REPUBLIC™	EP0001-PPSA01372_00-MADGAMESCEEEUR00	EP	EP0001
PPSA01374_00	10000459	RIDERS REPUBLIC™	UP0001-PPSA01374_00-MADGAMESCEA00000	UP	UP0001
PPSA01387_00	10000470	NBA 2K21	UP1001-PPSA01387_00-NBA2K21000000000	UP	UP1001
PPSA01388_00	10000470	NBA 2K21	EP1001-PPSA01388_00-NBA2K21000000000	EP	EP1001
PPSA01390_00	10000586	Dragon Age™: The Veilguard	UP0006-PPSA01390_00-DRAGONAGE0400000	UP	UP0006
PPSA01395_00	10000593	GoonyaFighter JigglyHapticEdition	JP0041-PPSA01395_00-1164235001325777	JP	JP0041
PPSA01396_00	203897	Tom Clancy's Rainbow Six® Siege	UP0001-PPSA01396_00-RAINBOWSIXSIEGE0	UP	UP0001
PPSA01397_00	203897	Tom Clancy's Rainbow Six® Siege	EP0001-PPSA01397_00-RAINBOWSIXSIEGE0	EP	EP0001
PPSA01401_00	203897	Tom Clancy's Rainbow Six® Siege	JP0001-PPSA01401_00-RAINBOWSIXSIEGE0	JP	JP0001
PPSA01402_00	10000603	PXG4 COMANYWHR- E2E 1.0 (Prod) (9) SCP 6.1.9-408 PS5 Full Game Upd			
PPSA01408_00	10000642	Just Dance® 2021	EP0001-PPSA01408_00-JD2021PS5SCEE000	EP	EP0001
PPSA01409_00	10000642	Just Dance® 2021	UP0001-PPSA01409_00-JD2021PS5SCEA000	UP	UP0001
PPSA01410_00	10000648	Tribes of Midgard	UP0292-PPSA01410_00-TRIBESDELUXECON0	UP	UP0292
PPSA01411_00	10000649	Marvel's Spider-Man: Miles Morales	UP9000-PPSA01411_00-MARVELSSMMORALES	UP	UP9000
PPSA01412_00	216600	No Man's Sky	EP2034-PPSA01412_00-NOMANSSKYHG00001	EP	EP2034
PPSA01413_00	10000657	HELLDIVERS™ 2	UP9000-PPSA01413_00-TESTAMENT0000000	UP	UP9000
PPSA01416_00	10000668	MLB® The Show™ 21	UP9000-PPSA01416_00-MLBTHESHOW21SHIP	UP	UP9000
PPSA01417_00	10000649	Marvel's Spider-Man: Miles Morales	EP9000-PPSA01417_00-MARVELSSMMORALES	EP	EP9000
PPSA01418_00	10000649	Marvel's Spider-Man: Miles Morales	JP9000-PPSA01418_00-MARVELSMSMORALES	JP	JP9000
PPSA01419_00	10000649	Marvel's Spider-Man: Miles Morales	HP9000-PPSA01419_00-MARVELSSMMORALES	HP	HP9000
PPSA01424_00	10000684	DEATHVERSE: LET IT DIE	JP0747-PPSA01424_00-EAGAPP0000000000	JP	JP0747
PPSA01425_00	10000684	DEATHVERSE: LET IT DIE	HP0747-PPSA01425_00-EAGAPP0000000000	HP	HP0747
PPSA01426_00	10000684	DEATHVERSE: LET IT DIE	UP0747-PPSA01426_00-EAGAPP0000000000	UP	UP0747
PPSA01427_00	10000684	DEATHVERSE: LET IT DIE	EP0747-PPSA01427_00-EAGAPP0000000000	EP	EP0747
PPSA01430_00	10000278	FIFA 21	EP0006-PPSA01430_00-FIFAFOOTBALL2021	EP	EP0006
PPSA01431_00	10000278	FIFA 21	EP0006-PPSA01431_00-FIFAFOOTBALL2021	EP	EP0006
PPSA01432_00	10000278	FIFA 21	EP0006-PPSA01432_00-FIFAFOOTBALL2021	EP	EP0006
PPSA01433_00	10000278	FIFA 21	UP0006-PPSA01433_00-FIFAFOOTBALL2021	UP	UP0006
PPSA01442_00	227315	Devil May Cry 5 Special Edition	UP0102-PPSA01442_00-DMC5000000000001	UP	UP0102
PPSA01443_00	227315	Devil May Cry 5 Special Edition	EP0102-PPSA01443_00-DMC5000000000001	EP	EP0102
PPSA01444_00	227315	Devil May Cry 5 Special Edition	JP0102-PPSA01444_00-DMC5000000000001	JP	JP0102
PPSA01445_00	233226	Warhammer: Chaosbane - Slayer Edition	EP4008-PPSA01445_00-WHCBSIEE00000000	EP	EP4008
PPSA01446_00	233226	Warhammer: Chaosbane - Slayer Edition	UP4008-PPSA01446_00-WHCBSIEA00000000	UP	UP4008
PPSA01447_00	233226	Warhammer: Chaosbane - Slayer Edition	HP3119-PPSA01447_00-WHCBSIEASIA00000	HP	HP3119
PPSA01460_00	10000649	Marvel's Spider-Man: Miles Morales	EP9000-PPSA01460_00-MARVELSSMMORALES	EP	EP9000
PPSA01461_00	10000649	Marvel's Spider-Man: Miles Morales	EP9000-PPSA01461_00-MARVELSSMMORALES	EP	EP9000
PPSA01462_00	227478	Borderlands® 3	UP1001-PPSA01462_00-0000000OAKNGSIEA	UP	UP1001
PPSA01463_00	227478	Borderlands® 3	EP1001-PPSA01463_00-0000000OAKNGSIEE	EP	EP1001
PPSA01464_00	10000758	Battlefield™ 2042	UP0006-PPSA01464_00-KINGSTONGAME0000	UP	UP0006
PPSA01465_00	10000758	Battlefield™ 2042	EP0006-PPSA01465_00-KINGSTONGAME0000	EP	EP0006
PPSA01467_00	10000762	Marvel's Spider-Man Remastered	UP9000-PPSA01467_00-MARVELSSPIDERMAN	UP	UP9000
PPSA01468_00	10000762	Marvel's Spider-Man Remastered	EP9000-PPSA01468_00-MARVELSSPIDERMAN	EP	EP9000
PPSA01469_00	10000762	Marvel's Spider-Man Remastered	EP9000-PPSA01469_00-MARVELSSPIDERMAN	EP	EP9000
PPSA01470_00	10000762	Marvel's Spider-Man Remastered	EP9000-PPSA01470_00-MARVELSSPIDERMAN	EP	EP9000
PPSA01471_00	10000762	Marvel's Spider-Man Remastered	JP9000-PPSA01471_00-MARVELSSPIDERMAN	JP	JP9000
PPSA01472_00	10000762	Marvel's Spider-Man Remastered	HP9000-PPSA01472_00-MARVELSSPIDERMAN	HP	HP9000
PPSA01473_00	10000669	Ratchet & Clank: Rift Apart	UP9000-PPSA01473_00-RATCHETCLANKRIFT	UP	UP9000
PPSA01474_00	10000669	Ratchet & Clank: Rift Apart	EP9000-PPSA01474_00-RATCHETCLANKRIFT	EP	EP9000
PPSA01475_00	10000669	Ratchet & Clank: Rift Apart	JP9000-PPSA01475_00-RATCHETCLANKRIFT	JP	JP9000
PPSA01476_00	10000669	Ratchet & Clank: Rift Apart	HP9000-PPSA01476_00-RATCHETCLANKRIFT	HP	HP9000
PPSA01477_00	10000786	PXG4 COMANYWHR- E2E 1.0 (Prod) CP 6.3.5-513 GEMS 0.63n Standard - Title			
PPSA01478_00	10000787	PXG4 COMANYWHR- E2E 1.0 (Prod) CP 6.3.5-513 Title			
PPSA01486_00	10000810	CCGT0	IP9100-PPSA01486_00-HWRL000000000000	IP	IP9100
PPSA01487_00	232581	Watch Dogs®: Legion	UP0001-PPSA01487_00-ORWFULLGAME00000	UP	UP0001
PPSA01488_00	232581	Watch Dogs®: Legion	EP0001-PPSA01488_00-ORWFULLGAME00000	EP	EP0001
PPSA01489_00	232581	Watch Dogs®: Legion	JP0001-PPSA01489_00-ORWFULLGAME00000	JP	JP0001
